label,id,lat,lon,
Harlem-148 St,301N,40.82388,-73.93647
145 St,302N,40.820421,-73.936245
135 St,224N,40.814229,-73.94077
125 St,225N,40.807754,-73.945495
116 St,226N,40.802098,-73.949625
Central Park North (110 St),227N,40.799075,-73.951822
96 St,120N,40.793919,-73.972323
72 St,123N,40.778453,-73.98197
Times Sq-42 St,127N,40.75529,-73.987495
34 St-Penn Station,128N,40.750373,-73.991057
14 St,132N,40.737826,-74.000201
Chambers St,137N,40.715478,-74.009266
Park Place,228N,40.713051,-74.008811
Fulton St,229N,40.709416,-74.006571
Wall St,230N,40.706821,-74.0091
Clark St,231N,40.697466,-73.993086
Borough Hall,232N,40.693219,-73.989998
Hoyt St,233N,40.690545,-73.985065
Nevins St,234N,40.688246,-73.980492
Atlantic Av-Barclays Ctr,235N,40.684359,-73.977666
Bergen St,236N,40.680829,-73.975098
Grand Army Plaza,237N,40.675235,-73.971046
Eastern Pkwy-Brooklyn Museum,238N,40.671987,-73.964375
Franklin Av-Medgar Evers College,239N,40.670682,-73.958131
Nostrand Av,248N,40.669847,-73.950466
Kingston Av,249N,40.669399,-73.942161
Crown Hts-Utica Av,250N,40.668897,-73.932942
Sutter Av-Rutland Rd,251N,40.664717,-73.92261
Saratoga Av,252N,40.661453,-73.916327
Rockaway Av,253N,40.662549,-73.908946
Junius St,254N,40.663515,-73.902447
Pennsylvania Av,255N,40.664635,-73.894895
Van Siclen Av,256N,40.665449,-73.889395
New Lots Av,257N,40.666235,-73.884079
