label,id,lat,lon,
Flushing-Main St,701N,40.7596,-73.83003
Mets-Willets Point,702N,40.754622,-73.845625
111 St,705N,40.75173,-73.855334
103 St-Corona Plaza,706N,40.749865,-73.8627
Junction Blvd,707N,40.749145,-73.869527
90 St-Elmhurst Av,708N,40.748408,-73.876613
82 St-Jackson Hts,709N,40.747659,-73.883697
74 St-Broadway,710N,40.746848,-73.891394
69 St,711N,40.746325,-73.896403
Woodside-61 St,712N,40.74563,-73.902984
52 St,713N,40.744149,-73.912549
46 St-Bliss St,714N,40.743132,-73.918435
40 St-Lowery St,715N,40.743781,-73.924016
33 St-Rawson St,716N,40.744587,-73.930997
Queensboro Plaza,718N,40.750582,-73.940202
Court Sq,719N,40.747023,-73.945264
Hunters Point Av,720N,40.742216,-73.948916
Vernon Blvd-Jackson Av,721N,40.742626,-73.953581
Grand Central-42 St,723N,40.751431,-73.976041
5 Av,724N,40.753821,-73.981963
Times Sq-42 St,725N,40.755477,-73.987691
34 St-Hudson Yards,726N,40.755882,-74.00191
