label,id,lat,lon,
Myrtle Av,M11S,40.697207,-73.935657
Central Av,M10S,40.697857,-73.927397
Knickerbocker Av,M09S,40.698664,-73.919711
Myrtle-Wyckoff Avs,M08S,40.69943,-73.912385
Seneca Av,M06S,40.702762,-73.90774
Forest Av,M05S,40.704423,-73.903077
Fresh Pond Rd,M04S,40.706186,-73.895877
Middle Village-Metropolitan Av,M01S,40.711396,-73.889601
Forest Hills-71 Av,G08S,40.721691,-73.844521
67 Av,G09S,40.726523,-73.852719
63 Dr-Rego Park,G10S,40.729846,-73.861604
Woodhaven Blvd,G11S,40.733106,-73.869229
Grand Av-Newtown,G12S,40.737015,-73.877223
Elmhurst Av,G13S,40.742454,-73.882017
Jackson Hts-Roosevelt Av,G14S,40.746644,-73.891338
65 St,G15S,40.749669,-73.898453
Northern Blvd,G16S,40.752885,-73.906006
46 St,G18S,40.756312,-73.913333
Steinway St,G19S,40.756879,-73.92074
36 St,G20S,40.752039,-73.928781
Queens Plaza,G21S,40.748973,-73.937243
Court Sq-23 St,F09S,40.747846,-73.946
Lexington Av/53 St,F11S,40.757552,-73.969055
5 Av/53 St,F12S,40.760167,-73.975224
47-50 Sts-Rockefeller Ctr,D15S,40.758663,-73.981329
42 St-Bryant Pk,D16S,40.754222,-73.984569
34 St-Herald Sq,D17S,40.749719,-73.987823
23 St,D18S,40.742878,-73.992821
14 St,D19S,40.738228,-73.996209
W 4 St-Wash Sq,D20S,40.732338,-74.000495
Broadway-Lafayette St,D21S,40.725297,-73.996204
Delancey St-Essex St,M18S,40.718315,-73.987437
Marcy Av,M16S,40.708359,-73.957757
Hewes St,M14S,40.70687,-73.953431
Lorimer St,M13S,40.703869,-73.947408
Flushing Av,M12S,40.70026,-73.941126
