label,id,lat,lon,
Harlem-148 St,301S,40.82388,-73.93647
145 St,302S,40.820421,-73.936245
135 St,224S,40.814229,-73.94077
125 St,225S,40.807754,-73.945495
116 St,226S,40.802098,-73.949625
Central Park North (110 St),227S,40.799075,-73.951822
96 St,120S,40.793919,-73.972323
72 St,123S,40.778453,-73.98197
Times Sq-42 St,127S,40.75529,-73.987495
34 St-Penn Station,128S,40.750373,-73.991057
14 St,132S,40.737826,-74.000201
Chambers St,137S,40.715478,-74.009266
Park Place,228S,40.713051,-74.008811
Fulton St,229S,40.709416,-74.006571
Wall St,230S,40.706821,-74.0091
Clark St,231S,40.697466,-73.993086
Borough Hall,232S,40.693219,-73.989998
Hoyt St,233S,40.690545,-73.985065
Nevins St,234S,40.688246,-73.980492
Atlantic Av-Barclays Ctr,235S,40.684359,-73.977666
Bergen St,236S,40.680829,-73.975098
Grand Army Plaza,237S,40.675235,-73.971046
Eastern Pkwy-Brooklyn Museum,238S,40.671987,-73.964375
Franklin Av-Medgar Evers College,239S,40.670682,-73.958131
Nostrand Av,248S,40.669847,-73.950466
Kingston Av,249S,40.669399,-73.942161
Crown Hts-Utica Av,250S,40.668897,-73.932942
Sutter Av-Rutland Rd,251S,40.664717,-73.92261
Saratoga Av,252S,40.661453,-73.916327
Rockaway Av,253S,40.662549,-73.908946
Junius St,254S,40.663515,-73.902447
Pennsylvania Av,255S,40.664635,-73.894895
Van Siclen Av,256S,40.665449,-73.889395
New Lots Av,257S,40.666235,-73.884079
