label,id,lat,lon,
New Lots Av,257N,40.666235,-73.884079
Van Siclen Av,256N,40.665449,-73.889395
Pennsylvania Av,255N,40.664635,-73.894895
Junius St,254N,40.663515,-73.902447
Rockaway Av,253N,40.662549,-73.908946
Saratoga Av,252N,40.661453,-73.916327
Sutter Av-Rutland Rd,251N,40.664717,-73.92261
Crown Hts-Utica Av,250N,40.668897,-73.932942
Kingston Av,249N,40.669399,-73.942161
Nostrand Av,248N,40.669847,-73.950466
Franklin Av-Medgar Evers College,239N,40.670682,-73.958131
Eastern Pkwy-Brooklyn Museum,238N,40.671987,-73.964375
Grand Army Plaza,237N,40.675235,-73.971046
Bergen St,236N,40.680829,-73.975098
Atlantic Av-Barclays Ctr,235N,40.684359,-73.977666
Nevins St,234N,40.688246,-73.980492
Borough Hall,423N,40.692404,-73.990151
Bowling Green,420N,40.704817,-74.014065
Wall St,419N,40.707557,-74.011862
Fulton St,418N,40.710368,-74.009509
Brooklyn Bridge-City Hall,640N,40.713065,-74.004131
Canal St,639N,40.718803,-74.000193
Spring St,638N,40.722301,-73.997141
Bleecker St,637N,40.725915,-73.994659
Astor Pl,636N,40.730054,-73.99107
14 St-Union Sq,635N,40.734673,-73.989951
23 St,634N,40.739864,-73.986599
28 St,633N,40.74307,-73.984264
33 St,632N,40.746081,-73.982076
Grand Central-42 St,631N,40.751776,-73.976848
51 St,630N,40.757107,-73.97192
59 St,629N,40.762526,-73.967967
68 St-Hunter College,628N,40.768141,-73.96387
77 St,627N,40.77362,-73.959874
86 St,626N,40.779492,-73.955589
96 St,625N,40.785672,-73.95107
103 St,624N,40.7906,-73.947478
110 St,623N,40.79502,-73.94425
116 St,622N,40.798629,-73.941617
125 St,621N,40.804138,-73.937594
138 St-Grand Concourse,416N,40.813224,-73.929849
149 St-Grand Concourse,415N,40.818375,-73.927351
161 St-Yankee Stadium,414N,40.827994,-73.925831
167 St,413N,40.835537,-73.9214
170 St,412N,40.840075,-73.917791
Mt Eden Av,411N,40.844434,-73.914685
176 St,410N,40.84848,-73.911794
Burnside Av,409N,40.853453,-73.907684
183 St,408N,40.858407,-73.903879
Fordham Rd,407N,40.862803,-73.901034
Kingsbridge Rd,406N,40.86776,-73.897174
Bedford Park Blvd-Lehman College,405N,40.873412,-73.890064
Mosholu Pkwy,402N,40.87975,-73.884655
Woodlawn,401N,40.886037,-73.878751
