label,id,lat,lon,
Inwood-207 St,A02S,40.868072,-73.919899
Dyckman St,A03S,40.865491,-73.927271
190 St,A05S,40.859022,-73.93418
181 St,A06S,40.851695,-73.937969
175 St,A07S,40.847391,-73.939704
168 St,A09S,40.840719,-73.939561
163 St-Amsterdam Av,A10S,40.836013,-73.939892
155 St,A11S,40.830518,-73.941514
145 St,A12S,40.824783,-73.944216
135 St,A14S,40.817894,-73.947649
125 St,A15S,40.811109,-73.952343
116 St,A16S,40.805085,-73.954882
Cathedral Pkwy (110 St),A17S,40.800603,-73.958161
103 St,A18S,40.796092,-73.961454
96 St,A19S,40.791642,-73.964696
86 St,A20S,40.785868,-73.968916
81 St-Museum of Natural History,A21S,40.781433,-73.972143
72 St,A22S,40.775594,-73.97641
59 St-Columbus Circle,A24S,40.768296,-73.981736
50 St,A25S,40.762456,-73.985984
42 St-Port Authority Bus Terminal,A27S,40.757308,-73.989735
34 St-Penn Station,A28S,40.752287,-73.993391
23 St,A30S,40.745906,-73.998041
14 St,A31S,40.740893,-74.00169
W 4 St-Wash Sq,A32S,40.732338,-74.000495
Spring St,A33S,40.726227,-74.003739
Canal St,A34S,40.720824,-74.005229
Chambers St,A36S,40.714111,-74.008585
Fulton St,A38S,40.710197,-74.007691
High St,A40S,40.699337,-73.990531
Jay St-MetroTech,A41S,40.692338,-73.987342
Hoyt-Schermerhorn Sts,A42S,40.688484,-73.985001
Lafayette Av,A43S,40.686113,-73.973946
Clinton-Washington Avs,A44S,40.683263,-73.965838
Franklin Av,A45S,40.68138,-73.956848
Nostrand Av,A46S,40.680438,-73.950426
Kingston-Throop Avs,A47S,40.679921,-73.940858
Utica Av,A48S,40.679364,-73.930729
Ralph Av,A49S,40.678822,-73.920786
Rockaway Av,A50S,40.67834,-73.911946
Broadway Junction,A51S,40.678334,-73.905316
Liberty Av,A52S,40.674542,-73.896548
Van Siclen Av,A53S,40.67271,-73.890358
Shepherd Av,A54S,40.67413,-73.88075
Euclid Av,A55S,40.675377,-73.872106
Grant Av,A57S,40.677044,-73.86505
80 St,A59S,40.679371,-73.858992
88 St,A60S,40.679843,-73.85147
Rockaway Blvd,A61S,40.680429,-73.843853
Aqueduct-N Conduit Av,H02S,40.668234,-73.834058
Howard Beach-JFK Airport,H03S,40.660476,-73.830301
Broad Channel,H04S,40.608382,-73.815925
Beach 67 St,H06S,40.590927,-73.796924
Beach 60 St,H07S,40.592374,-73.788522
Beach 44 St,H08S,40.592943,-73.776013
Beach 36 St,H09S,40.595398,-73.768175
Beach 25 St,H10S,40.600066,-73.761353
Far Rockaway-Mott Av,H11S,40.603995,-73.755405
104 St,A63S,40.681711,-73.837683
111 St,A64S,40.684331,-73.832163
Ozone Park-Lefferts Blvd,A65S,40.685951,-73.825798
